Date,State FIPS,County FIPS,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2020/03/01,2184.0,2164889.0,4427095.0,15564735.0,65655957.0,15833326.0,16774377.0,8341316.0,10401543.0,9444842.0,3030369.0,1095194.0,514988.0,117936.0,102066.0
2020/03/02,2184.0,2164889.0,3794768.0,16197062.0,75528834.0,18235420.0,18338046.0,9132041.0,11608380.0,12134495.0,4262358.0,1183538.0,420183.0,99364.0,115009.0
2020/03/03,2184.0,2164889.0,3636975.0,16354855.0,76675632.0,18735283.0,18170498.0,9036510.0,11655014.0,12346318.0,4533545.0,1431547.0,552658.0,134795.0,79464.0
2020/03/04,2184.0,2164889.0,3704710.0,16287120.0,78046192.0,19207616.0,18315247.0,9182720.0,11859688.0,12598277.0,4652827.0,1476498.0,565264.0,122818.0,65237.0
2020/03/05,2184.0,2164889.0,3427457.0,16564373.0,77369646.0,18812766.0,18201959.0,9089043.0,11772192.0,12576268.0,4634132.0,1496288.0,590691.0,130483.0,65824.0
2020/03/06,2184.0,2164889.0,3582362.0,16409468.0,77985400.0,18147093.0,18609860.0,9279382.0,12090362.0,12703285.0,4630827.0,1608105.0,701557.0,146188.0,68741.0
2020/03/07,2184.0,2164889.0,3895598.0,16096232.0,77515970.0,18624213.0,19058067.0,9655721.0,12083691.0,11556127.0,4042065.0,1587121.0,664337.0,147104.0,97524.0
2020/03/08,2184.0,2164889.0,4360331.0,15631499.0,67697868.0,16635626.0,16976587.0,8448005.0,10521742.0,9547495.0,3265452.0,1375414.0,675322.0,155051.0,97174.0
2020/03/09,2184.0,2164889.0,3849833.0,16141997.0,74355433.0,17918367.0,17703537.0,8823686.0,11419557.0,12008604.0,4353368.0,1399007.0,540584.0,110482.0,78241.0
2020/03/10,2184.0,2164889.0,3815495.0,16176335.0,76044340.0,18815542.0,18077987.0,8929197.0,11517668.0,12139678.0,4411456.0,1434569.0,533547.0,114280.0,70416.0
2020/03/11,2184.0,2164889.0,3815240.0,16176590.0,70180296.0,17514237.0,16785046.0,7912222.0,10130805.0,10627209.0,4165835.0,1755976.0,898028.0,224529.0,166409.0
2020/03/12,2184.0,2164889.0,3967263.0,16024567.0,68975522.0,17547769.0,16525190.0,7623380.0,9642108.0,10319781.0,4045720.0,1748804.0,1089595.0,282538.0,150637.0
2020/03/13,2184.0,2164889.0,3866163.0,16125667.0,71831552.0,18359046.0,17452725.0,8177622.0,10484754.0,10423049.0,3874604.0,1639936.0,1027038.0,233481.0,159297.0
2020/03/14,2184.0,2164889.0,4782361.0,15209469.0,64728764.0,16277589.0,16680613.0,7615761.0,9413766.0,8813886.0,3168320.0,1404872.0,930575.0,249015.0,174367.0
2020/03/15,2184.0,2164889.0,5499397.0,14492433.0,60163714.0,15040974.0,15659710.0,7684401.0,9230054.0,8153797.0,2561640.0,1023861.0,583086.0,142641.0,83550.0
